id,sample_no,latitude,longitude,ec_mS_cm,sample_type,collection_date,team,ec_dS_m
1,S101,22.903646,88.964424,0.3038,Soil,2025-04-12 00:00:00,1,0.3038
2,S104,22.764584,89.432003,1.115,Soil,2025-04-14 00:00:00,1,1.115
3,S105,22.885592,89.064274,1.384,Soil,2025-04-12 00:00:00,1,1.384
4,S106,22.905552,89.054133,1.314,Soil,2025-04-12 00:00:00,1,1.314
5,S107,22.858672,89.262052,0.1796,Soil,2025-04-13 00:00:00,1,0.1796
6,S108,22.860237,89.37394,8.041,Soil,2025-04-14 00:00:00,1,8.041
7,S116,22.908034,89.364108,0.5672,Soil,2025-04-14 00:00:00,1,0.5672
8,S117,22.856567,89.323476,0.5794,Soil,2025-04-13 00:00:00,1,0.5794
9,S118,22.693955,89.432757,4.326,Soil,2025-04-14 00:00:00,1,4.326
10,S121,22.890492,89.395316,7.035,Soil,2025-04-14 00:00:00,1,7.035
11,S122,22.850097,89.114491,0.3661,Soil,2025-04-12 00:00:00,1,0.3661
12,S123,22.83798,89.168415,0.7117,Soil,2025-04-13 00:00:00,1,0.7117
13,S124,22.830273,89.194281,0.2054,Soil,2025-04-13 00:00:00,1,0.2054
14,S125,22.700673,89.145615,2.16,Soil,2025-04-11 00:00:00,1,2.16
15,S126,22.684265,88.988557,0.7909,Soil,2025-04-11 00:00:00,1,0.7909
16,S127,22.850728,89.029754,0.3313,Soil,2025-04-12 00:00:00,1,0.3313
17,S128,22.929983,89.004466,0.7387,Soil,2025-04-12 00:00:00,1,0.7387
18,S129,22.651079,89.109813,1.344,Soil,2025-04-11 00:00:00,1,1.344
19,S130,22.697999,89.063953,0.9445,Soil,2025-04-11 00:00:00,1,0.9445
20,S131,22.79071,89.053756,0.1523,Soil,2025-04-11 00:00:00,1,0.1523
21,S133,22.884416,89.241292,1.401,Soil,2025-04-13 00:00:00,1,1.401
22,S134,22.72659,89.428307,2.874,Soil,2025-04-14 00:00:00,1,2.874
23,S137,22.883591,89.155806,0.2652,Soil,2025-04-13 00:00:00,1,0.2652
24,S140,22.888849,88.949331,1.064,Soil,2025-04-12 00:00:00,1,1.064
25,S141,22.751358,88.936053,0.8904,Soil,2025-04-11 00:00:00,1,0.8904
26,S142,22.713978,88.975573,0.3969,Soil,2025-04-11 00:00:00,1,0.3969
